Treatment,Time_point,Family,variable,n,mean,sd
Imolope_high,T72,Chitinophagaceae,Abundance,3,0,0
Imolope_low,T72,Chitinophagaceae,Abundance,3,0,0
Lop_high,T72,Chitinophagaceae,Abundance,3,0,0
Lop_low,T72,Chitinophagaceae,Abundance,3,0,0
Saline,T72,Chitinophagaceae,Abundance,3,0,0.001
DMSO,T0,Christensenellaceae,Abundance,3,0.021,0.015
Imolope_high,T0,Christensenellaceae,Abundance,3,0.01,0.011
Imolope_low,T0,Christensenellaceae,Abundance,3,0.016,0.007
Lop_high,T0,Christensenellaceae,Abundance,3,0.006,0.01
Lop_low,T0,Christensenellaceae,Abundance,3,0.007,0.007
Saline,T0,Christensenellaceae,Abundance,3,0.017,0.016
DMSO,T24,Christensenellaceae,Abundance,3,0,0
Imolope_high,T24,Christensenellaceae,Abundance,3,0,0
Imolope_low,T24,Christensenellaceae,Abundance,3,0,0
Lop_high,T24,Christensenellaceae,Abundance,3,0,0
Lop_low,T24,Christensenellaceae,Abundance,3,0,0
Saline,T24,Christensenellaceae,Abundance,3,0,0
DMSO,T48,Christensenellaceae,Abundance,3,0,0
Imolope_high,T48,Christensenellaceae,Abundance,3,0,0
Imolope_low,T48,Christensenellaceae,Abundance,3,0,0
Lop_high,T48,Christensenellaceae,Abundance,3,0,0
Lop_low,T48,Christensenellaceae,Abundance,3,0,0
Saline,T48,Christensenellaceae,Abundance,3,0,0
DMSO,T72,Christensenellaceae,Abundance,3,0,0
Imolope_high,T72,Christensenellaceae,Abundance,3,0,0
Imolope_low,T72,Christensenellaceae,Abundance,3,0,0
Lop_high,T72,Christensenellaceae,Abundance,3,0.012,0.021
Lop_low,T72,Christensenellaceae,Abundance,3,0,0.001
Saline,T72,Christensenellaceae,Abundance,3,0,0
DMSO,T0,Chromatiaceae,Abundance,3,0,0
Imolope_high,T0,Chromatiaceae,Abundance,3,0,0
Imolope_low,T0,Chromatiaceae,Abundance,3,2.556,4.426
Lop_high,T0,Chromatiaceae,Abundance,3,0,0
Lop_low,T0,Chromatiaceae,Abundance,3,0,0
Saline,T0,Chromatiaceae,Abundance,3,0,0
DMSO,T24,Chromatiaceae,Abundance,3,0,0
Imolope_high,T24,Chromatiaceae,Abundance,3,0,0
Imolope_low,T24,Chromatiaceae,Abundance,3,0,0
Lop_high,T24,Chromatiaceae,Abundance,3,0,0
Lop_low,T24,Chromatiaceae,Abundance,3,0,0
Saline,T24,Chromatiaceae,Abundance,3,0,0
DMSO,T48,Chromatiaceae,Abundance,3,0,0
Imolope_high,T48,Chromatiaceae,Abundance,3,0,0
Imolope_low,T48,Chromatiaceae,Abundance,3,0,0
Lop_high,T48,Chromatiaceae,Abundance,3,0,0
Lop_low,T48,Chromatiaceae,Abundance,3,0.001,0.001
Saline,T48,Chromatiaceae,Abundance,3,0,0
DMSO,T72,Chromatiaceae,Abundance,3,0,0
