Treatment,Time_point,Genus,variable,n,mean,sd
Imolope_high,T48,Order_Rhodospirillales,Abundance,3,0,0
Imolope_low,T48,Order_Rhodospirillales,Abundance,3,0,0
Lop_high,T48,Order_Rhodospirillales,Abundance,3,0,0
Lop_low,T48,Order_Rhodospirillales,Abundance,3,0,0
Saline,T48,Order_Rhodospirillales,Abundance,3,0,0
DMSO,T72,Order_Rhodospirillales,Abundance,3,0,0.001
Imolope_high,T72,Order_Rhodospirillales,Abundance,3,0,0
Imolope_low,T72,Order_Rhodospirillales,Abundance,3,0,0
Lop_high,T72,Order_Rhodospirillales,Abundance,3,0,0.001
Lop_low,T72,Order_Rhodospirillales,Abundance,3,0,0
Saline,T72,Order_Rhodospirillales,Abundance,3,0,0
DMSO,T0,Oscillibacter,Abundance,3,1.26,0.336
Imolope_high,T0,Oscillibacter,Abundance,3,1.631,0.272
Imolope_low,T0,Oscillibacter,Abundance,3,1.099,0.288
Lop_high,T0,Oscillibacter,Abundance,3,1.333,0.665
Lop_low,T0,Oscillibacter,Abundance,3,1.525,0.166
Saline,T0,Oscillibacter,Abundance,3,1.077,0.113
DMSO,T24,Oscillibacter,Abundance,3,0,0
Imolope_high,T24,Oscillibacter,Abundance,3,0.002,0.002
Imolope_low,T24,Oscillibacter,Abundance,3,0.002,0.001
Lop_high,T24,Oscillibacter,Abundance,3,0.001,0.001
Lop_low,T24,Oscillibacter,Abundance,3,0.002,0
Saline,T24,Oscillibacter,Abundance,3,0.002,0.001
DMSO,T48,Oscillibacter,Abundance,3,0.001,0.001
Imolope_high,T48,Oscillibacter,Abundance,3,0.003,0.003
Imolope_low,T48,Oscillibacter,Abundance,3,0.003,0.002
Lop_high,T48,Oscillibacter,Abundance,3,0.004,0
Lop_low,T48,Oscillibacter,Abundance,3,0.004,0.001
Saline,T48,Oscillibacter,Abundance,3,0.011,0.003
DMSO,T72,Oscillibacter,Abundance,3,0.28,0.094
Imolope_high,T72,Oscillibacter,Abundance,3,0.127,0.041
Imolope_low,T72,Oscillibacter,Abundance,3,0.195,0.057
Lop_high,T72,Oscillibacter,Abundance,3,0.37,0.135
Lop_low,T72,Oscillibacter,Abundance,3,0.357,0.103
Saline,T72,Oscillibacter,Abundance,3,0.504,0.117
DMSO,T0,Paenibacillus,Abundance,3,0,0
Imolope_high,T0,Paenibacillus,Abundance,3,0,0
Imolope_low,T0,Paenibacillus,Abundance,3,0,0
Lop_high,T0,Paenibacillus,Abundance,3,0,0
Lop_low,T0,Paenibacillus,Abundance,3,0,0
Saline,T0,Paenibacillus,Abundance,3,0,0
DMSO,T24,Paenibacillus,Abundance,3,0,0
Imolope_high,T24,Paenibacillus,Abundance,3,0,0
Imolope_low,T24,Paenibacillus,Abundance,3,0,0
Lop_high,T24,Paenibacillus,Abundance,3,0,0
Lop_low,T24,Paenibacillus,Abundance,3,0,0
Saline,T24,Paenibacillus,Abundance,3,0,0
DMSO,T48,Paenibacillus,Abundance,3,0,0
Imolope_high,T48,Paenibacillus,Abundance,3,0,0
Imolope_low,T48,Paenibacillus,Abundance,3,0,0
Lop_high,T48,Paenibacillus,Abundance,3,0,0
Lop_low,T48,Paenibacillus,Abundance,3,0,0
Saline,T48,Paenibacillus,Abundance,3,0,0
DMSO,T72,Paenibacillus,Abundance,3,0.009,0.014
Imolope_high,T72,Paenibacillus,Abundance,3,0.004,0.004
Imolope_low,T72,Paenibacillus,Abundance,3,0.003,0.005
Lop_high,T72,Paenibacillus,Abundance,3,0.01,0.009
Lop_low,T72,Paenibacillus,Abundance,3,0.001,0.003
Saline,T72,Paenibacillus,Abundance,3,0.009,0.007
DMSO,T0,Paludicola,Abundance,3,0.004,0.007
Imolope_high,T0,Paludicola,Abundance,3,0.035,0.024
Imolope_low,T0,Paludicola,Abundance,3,0.021,0.018
Lop_high,T0,Paludicola,Abundance,3,0.031,0.014
Lop_low,T0,Paludicola,Abundance,3,0.017,0.009
Saline,T0,Paludicola,Abundance,3,0.028,0.023
DMSO,T24,Paludicola,Abundance,3,0,0.001
Imolope_high,T24,Paludicola,Abundance,3,0,0
Imolope_low,T24,Paludicola,Abundance,3,0,0
Lop_high,T24,Paludicola,Abundance,3,0,0
Lop_low,T24,Paludicola,Abundance,3,0,0
Saline,T24,Paludicola,Abundance,3,0,0
DMSO,T48,Paludicola,Abundance,3,0,0
Imolope_high,T48,Paludicola,Abundance,3,0,0.001
Imolope_low,T48,Paludicola,Abundance,3,0,0
Lop_high,T48,Paludicola,Abundance,3,0,0
Lop_low,T48,Paludicola,Abundance,3,0,0
Saline,T48,Paludicola,Abundance,3,0,0.001
DMSO,T72,Paludicola,Abundance,3,0,0
Imolope_high,T72,Paludicola,Abundance,3,0,0
Imolope_low,T72,Paludicola,Abundance,3,0.001,0.001
Lop_high,T72,Paludicola,Abundance,3,0,0
Lop_low,T72,Paludicola,Abundance,3,0,0
Saline,T72,Paludicola,Abundance,3,0,0
DMSO,T0,Parabacteroides,Abundance,3,0.227,0.192
Imolope_high,T0,Parabacteroides,Abundance,3,0.062,0.053
Imolope_low,T0,Parabacteroides,Abundance,3,0.04,0.031
Lop_high,T0,Parabacteroides,Abundance,3,0.13,0.098
Lop_low,T0,Parabacteroides,Abundance,3,0.057,0.061
Saline,T0,Parabacteroides,Abundance,3,0.054,0.011
DMSO,T24,Parabacteroides,Abundance,3,1.67,0.817
Imolope_high,T24,Parabacteroides,Abundance,3,1.03,0.406
Imolope_low,T24,Parabacteroides,Abundance,3,2.706,0.466
Lop_high,T24,Parabacteroides,Abundance,3,1.327,0.535
Lop_low,T24,Parabacteroides,Abundance,3,2.382,0.761
Saline,T24,Parabacteroides,Abundance,3,3.315,0.461
DMSO,T48,Parabacteroides,Abundance,3,4.423,0.288
Imolope_high,T48,Parabacteroides,Abundance,3,5.064,0.543
Imolope_low,T48,Parabacteroides,Abundance,3,5.61,0.405
Lop_high,T48,Parabacteroides,Abundance,3,4.521,0.794
Lop_low,T48,Parabacteroides,Abundance,3,5.255,0.604
Saline,T48,Parabacteroides,Abundance,3,6.823,1.771
DMSO,T72,Parabacteroides,Abundance,3,7.828,0.316
Imolope_high,T72,Parabacteroides,Abundance,3,7.898,0.324
Imolope_low,T72,Parabacteroides,Abundance,3,7.381,1.146
Lop_high,T72,Parabacteroides,Abundance,3,7.538,1.312
Lop_low,T72,Parabacteroides,Abundance,3,8.127,2.551
Saline,T72,Parabacteroides,Abundance,3,5.5,0.848
DMSO,T0,Paracoccus,Abundance,3,0.004,0.003
Imolope_high,T0,Paracoccus,Abundance,3,0.001,0.002
Imolope_low,T0,Paracoccus,Abundance,3,0.003,0.005
Lop_high,T0,Paracoccus,Abundance,3,0,0
Lop_low,T0,Paracoccus,Abundance,3,0,0
Saline,T0,Paracoccus,Abundance,3,0,0
DMSO,T24,Paracoccus,Abundance,3,0,0
Imolope_high,T24,Paracoccus,Abundance,3,0,0
Imolope_low,T24,Paracoccus,Abundance,3,0,0
Lop_high,T24,Paracoccus,Abundance,3,0,0
Lop_low,T24,Paracoccus,Abundance,3,0,0
Saline,T24,Paracoccus,Abundance,3,0,0
DMSO,T48,Paracoccus,Abundance,3,0,0
Imolope_high,T48,Paracoccus,Abundance,3,0,0
Imolope_low,T48,Paracoccus,Abundance,3,0,0
Lop_high,T48,Paracoccus,Abundance,3,0,0
Lop_low,T48,Paracoccus,Abundance,3,0,0
Saline,T48,Paracoccus,Abundance,3,0,0.001
DMSO,T72,Paracoccus,Abundance,3,0,0.001
Imolope_high,T72,Paracoccus,Abundance,3,0,0
Imolope_low,T72,Paracoccus,Abundance,3,0,0
Lop_high,T72,Paracoccus,Abundance,3,0,0
Lop_low,T72,Paracoccus,Abundance,3,0,0
Saline,T72,Paracoccus,Abundance,3,0,0
DMSO,T0,Paramuribaculum,Abundance,3,0.188,0.06
Imolope_high,T0,Paramuribaculum,Abundance,3,0.178,0.093
Imolope_low,T0,Paramuribaculum,Abundance,3,0.082,0.015
Lop_high,T0,Paramuribaculum,Abundance,3,0.141,0.055
Lop_low,T0,Paramuribaculum,Abundance,3,0.15,0.035
Saline,T0,Paramuribaculum,Abundance,3,0.132,0.031
DMSO,T24,Paramuribaculum,Abundance,3,0.001,0.001
Imolope_high,T24,Paramuribaculum,Abundance,3,0.001,0.001
Imolope_low,T24,Paramuribaculum,Abundance,3,0.002,0.001
Lop_high,T24,Paramuribaculum,Abundance,3,0.002,0.002
Lop_low,T24,Paramuribaculum,Abundance,3,0,0.001
Saline,T24,Paramuribaculum,Abundance,3,0.001,0.001
DMSO,T48,Paramuribaculum,Abundance,3,0.002,0.002
Imolope_high,T48,Paramuribaculum,Abundance,3,0.003,0
Imolope_low,T48,Paramuribaculum,Abundance,3,0.001,0.001
Lop_high,T48,Paramuribaculum,Abundance,3,0,0.001
Lop_low,T48,Paramuribaculum,Abundance,3,0.001,0.002
Saline,T48,Paramuribaculum,Abundance,3,0,0.001
DMSO,T72,Paramuribaculum,Abundance,3,0,0.001
Imolope_high,T72,Paramuribaculum,Abundance,3,0,0.001
Imolope_low,T72,Paramuribaculum,Abundance,3,0.002,0.001
Lop_high,T72,Paramuribaculum,Abundance,3,0.001,0.001
Lop_low,T72,Paramuribaculum,Abundance,3,0,0.001
Saline,T72,Paramuribaculum,Abundance,3,0,0.001
DMSO,T0,Parasutterella,Abundance,3,0,0
Imolope_high,T0,Parasutterella,Abundance,3,0,0
Imolope_low,T0,Parasutterella,Abundance,3,0,0
Lop_high,T0,Parasutterella,Abundance,3,0,0
Lop_low,T0,Parasutterella,Abundance,3,0,0
Saline,T0,Parasutterella,Abundance,3,0,0
DMSO,T24,Parasutterella,Abundance,3,0,0
Imolope_high,T24,Parasutterella,Abundance,3,0.001,0.002
Imolope_low,T24,Parasutterella,Abundance,3,0.001,0.001
Lop_high,T24,Parasutterella,Abundance,3,0.001,0.001
Lop_low,T24,Parasutterella,Abundance,3,0.001,0.002
Saline,T24,Parasutterella,Abundance,3,0.002,0.003
DMSO,T48,Parasutterella,Abundance,3,0.001,0.001
Imolope_high,T48,Parasutterella,Abundance,3,0.004,0.006
Imolope_low,T48,Parasutterella,Abundance,3,0.007,0.012
Lop_high,T48,Parasutterella,Abundance,3,0.003,0.004
Lop_low,T48,Parasutterella,Abundance,3,0.002,0.003
Saline,T48,Parasutterella,Abundance,3,0,0
DMSO,T72,Parasutterella,Abundance,3,0.003,0.005
Imolope_high,T72,Parasutterella,Abundance,3,0.001,0.002
Imolope_low,T72,Parasutterella,Abundance,3,0.008,0.013
Lop_high,T72,Parasutterella,Abundance,3,0,0
Lop_low,T72,Parasutterella,Abundance,3,0,0
Saline,T72,Parasutterella,Abundance,3,0,0
DMSO,T0,Pelomonas,Abundance,3,0.016,0.02
Imolope_high,T0,Pelomonas,Abundance,3,0.012,0.01
Imolope_low,T0,Pelomonas,Abundance,3,0.004,0.004
Lop_high,T0,Pelomonas,Abundance,3,0.011,0.014
Lop_low,T0,Pelomonas,Abundance,3,0.001,0.003
Saline,T0,Pelomonas,Abundance,3,0.018,0.029
DMSO,T24,Pelomonas,Abundance,3,0,0
Imolope_high,T24,Pelomonas,Abundance,3,0,0
Imolope_low,T24,Pelomonas,Abundance,3,0,0
Lop_high,T24,Pelomonas,Abundance,3,0,0
Lop_low,T24,Pelomonas,Abundance,3,0,0
Saline,T24,Pelomonas,Abundance,3,0,0
DMSO,T48,Pelomonas,Abundance,3,0,0
Imolope_high,T48,Pelomonas,Abundance,3,0,0
Imolope_low,T48,Pelomonas,Abundance,3,0,0
Lop_high,T48,Pelomonas,Abundance,3,0,0
Lop_low,T48,Pelomonas,Abundance,3,0,0
Saline,T48,Pelomonas,Abundance,3,0,0
DMSO,T72,Pelomonas,Abundance,3,0,0.001
Imolope_high,T72,Pelomonas,Abundance,3,0,0
Imolope_low,T72,Pelomonas,Abundance,3,0,0
Lop_high,T72,Pelomonas,Abundance,3,0,0
Lop_low,T72,Pelomonas,Abundance,3,0,0
Saline,T72,Pelomonas,Abundance,3,0,0
DMSO,T0,Peptococcus,Abundance,3,0.088,0.012
Imolope_high,T0,Peptococcus,Abundance,3,0.064,0.004
Imolope_low,T0,Peptococcus,Abundance,3,0.063,0.037
Lop_high,T0,Peptococcus,Abundance,3,0.067,0.037
Lop_low,T0,Peptococcus,Abundance,3,0.06,0.045
Saline,T0,Peptococcus,Abundance,3,0.058,0.038
DMSO,T24,Peptococcus,Abundance,3,0,0
Imolope_high,T24,Peptococcus,Abundance,3,0,0
Imolope_low,T24,Peptococcus,Abundance,3,0,0
Lop_high,T24,Peptococcus,Abundance,3,0,0
Lop_low,T24,Peptococcus,Abundance,3,0,0
Saline,T24,Peptococcus,Abundance,3,0,0
DMSO,T48,Peptococcus,Abundance,3,0,0
Imolope_high,T48,Peptococcus,Abundance,3,0,0
Imolope_low,T48,Peptococcus,Abundance,3,0,0
Lop_high,T48,Peptococcus,Abundance,3,0,0
Lop_low,T48,Peptococcus,Abundance,3,0,0
Saline,T48,Peptococcus,Abundance,3,0,0
DMSO,T72,Peptococcus,Abundance,3,0,0
Imolope_high,T72,Peptococcus,Abundance,3,0,0
Imolope_low,T72,Peptococcus,Abundance,3,0,0
Lop_high,T72,Peptococcus,Abundance,3,0,0.001
Lop_low,T72,Peptococcus,Abundance,3,0,0
Saline,T72,Peptococcus,Abundance,3,0,0
DMSO,T0,Phocaeicola,Abundance,3,0.3,0.179
Imolope_high,T0,Phocaeicola,Abundance,3,0.179,0.083
Imolope_low,T0,Phocaeicola,Abundance,3,0.106,0.052
Lop_high,T0,Phocaeicola,Abundance,3,0.137,0.046
Lop_low,T0,Phocaeicola,Abundance,3,0.167,0.067
Saline,T0,Phocaeicola,Abundance,3,0.129,0.014
DMSO,T24,Phocaeicola,Abundance,3,4.027,2.205
Imolope_high,T24,Phocaeicola,Abundance,3,1.804,0.599
Imolope_low,T24,Phocaeicola,Abundance,3,3.559,0.275
Lop_high,T24,Phocaeicola,Abundance,3,4.756,0.834
Lop_low,T24,Phocaeicola,Abundance,3,3.954,0.475
Saline,T24,Phocaeicola,Abundance,3,8.545,0.683
DMSO,T48,Phocaeicola,Abundance,3,4.27,0.321
Imolope_high,T48,Phocaeicola,Abundance,3,2.131,0.391
Imolope_low,T48,Phocaeicola,Abundance,3,2.495,0.474
Lop_high,T48,Phocaeicola,Abundance,3,3.034,0.604
Lop_low,T48,Phocaeicola,Abundance,3,2.564,0.597
Saline,T48,Phocaeicola,Abundance,3,5.111,1.559
DMSO,T72,Phocaeicola,Abundance,3,2.815,0.24
Imolope_high,T72,Phocaeicola,Abundance,3,1.192,0.082
Imolope_low,T72,Phocaeicola,Abundance,3,1.391,0.344
Lop_high,T72,Phocaeicola,Abundance,3,1.991,0.514
Lop_low,T72,Phocaeicola,Abundance,3,1.559,0.656
Saline,T72,Phocaeicola,Abundance,3,2.862,0.464
DMSO,T0,Phylum_Candidatus_Saccharibacteria,Abundance,3,0.013,0.023
Imolope_high,T0,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Imolope_low,T0,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Lop_high,T0,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Lop_low,T0,Phylum_Candidatus_Saccharibacteria,Abundance,3,0.001,0.003
Saline,T0,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
DMSO,T24,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Imolope_high,T24,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Imolope_low,T24,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Lop_high,T24,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Lop_low,T24,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Saline,T24,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
DMSO,T48,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Imolope_high,T48,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Imolope_low,T48,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Lop_high,T48,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Lop_low,T48,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Saline,T48,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
DMSO,T72,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Imolope_high,T72,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Imolope_low,T72,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Lop_high,T72,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Lop_low,T72,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
Saline,T72,Phylum_Candidatus_Saccharibacteria,Abundance,3,0,0
DMSO,T0,Phylum_Firmicutes,Abundance,3,0.388,0.174
Imolope_high,T0,Phylum_Firmicutes,Abundance,3,0.301,0.025
Imolope_low,T0,Phylum_Firmicutes,Abundance,3,0.339,0.055
Lop_high,T0,Phylum_Firmicutes,Abundance,3,0.309,0.12
Lop_low,T0,Phylum_Firmicutes,Abundance,3,0.327,0.079
Saline,T0,Phylum_Firmicutes,Abundance,3,0.306,0.022
DMSO,T24,Phylum_Firmicutes,Abundance,3,0,0
Imolope_high,T24,Phylum_Firmicutes,Abundance,3,0,0
Imolope_low,T24,Phylum_Firmicutes,Abundance,3,0,0
Lop_high,T24,Phylum_Firmicutes,Abundance,3,0.001,0.001
Lop_low,T24,Phylum_Firmicutes,Abundance,3,0,0
Saline,T24,Phylum_Firmicutes,Abundance,3,0,0
DMSO,T48,Phylum_Firmicutes,Abundance,3,0,0
Imolope_high,T48,Phylum_Firmicutes,Abundance,3,0,0.001
Imolope_low,T48,Phylum_Firmicutes,Abundance,3,0,0
Lop_high,T48,Phylum_Firmicutes,Abundance,3,0,0.001
Lop_low,T48,Phylum_Firmicutes,Abundance,3,0,0.001
Saline,T48,Phylum_Firmicutes,Abundance,3,0.001,0.001
DMSO,T72,Phylum_Firmicutes,Abundance,3,0,0.001
Imolope_high,T72,Phylum_Firmicutes,Abundance,3,0,0
Imolope_low,T72,Phylum_Firmicutes,Abundance,3,0,0
Lop_high,T72,Phylum_Firmicutes,Abundance,3,0,0
Lop_low,T72,Phylum_Firmicutes,Abundance,3,0,0.001
Saline,T72,Phylum_Firmicutes,Abundance,3,0,0
DMSO,T0,Phylum_Proteobacteria,Abundance,3,0,0
Imolope_high,T0,Phylum_Proteobacteria,Abundance,3,0.004,0.007
Imolope_low,T0,Phylum_Proteobacteria,Abundance,3,0,0
Lop_high,T0,Phylum_Proteobacteria,Abundance,3,0,0
Lop_low,T0,Phylum_Proteobacteria,Abundance,3,0.007,0.012
Saline,T0,Phylum_Proteobacteria,Abundance,3,0,0
DMSO,T24,Phylum_Proteobacteria,Abundance,3,0,0
Imolope_high,T24,Phylum_Proteobacteria,Abundance,3,0,0
Imolope_low,T24,Phylum_Proteobacteria,Abundance,3,0,0
Lop_high,T24,Phylum_Proteobacteria,Abundance,3,0,0
Lop_low,T24,Phylum_Proteobacteria,Abundance,3,0,0
Saline,T24,Phylum_Proteobacteria,Abundance,3,0,0
DMSO,T48,Phylum_Proteobacteria,Abundance,3,0,0
Imolope_high,T48,Phylum_Proteobacteria,Abundance,3,0,0
Imolope_low,T48,Phylum_Proteobacteria,Abundance,3,0,0
Lop_high,T48,Phylum_Proteobacteria,Abundance,3,0,0
Lop_low,T48,Phylum_Proteobacteria,Abundance,3,0,0
Saline,T48,Phylum_Proteobacteria,Abundance,3,0,0
DMSO,T72,Phylum_Proteobacteria,Abundance,3,0,0
Imolope_high,T72,Phylum_Proteobacteria,Abundance,3,0,0
Imolope_low,T72,Phylum_Proteobacteria,Abundance,3,0,0
Lop_high,T72,Phylum_Proteobacteria,Abundance,3,0,0
Lop_low,T72,Phylum_Proteobacteria,Abundance,3,0,0
Saline,T72,Phylum_Proteobacteria,Abundance,3,0,0
DMSO,T0,Pseudoflavonifractor,Abundance,3,0.177,0.051
Imolope_high,T0,Pseudoflavonifractor,Abundance,3,0.158,0.019
Imolope_low,T0,Pseudoflavonifractor,Abundance,3,0.107,0.048
Lop_high,T0,Pseudoflavonifractor,Abundance,3,0.147,0.016
Lop_low,T0,Pseudoflavonifractor,Abundance,3,0.122,0.053
Saline,T0,Pseudoflavonifractor,Abundance,3,0.164,0.073
DMSO,T24,Pseudoflavonifractor,Abundance,3,0,0
Imolope_high,T24,Pseudoflavonifractor,Abundance,3,0.001,0.001
Imolope_low,T24,Pseudoflavonifractor,Abundance,3,0.001,0.001
Lop_high,T24,Pseudoflavonifractor,Abundance,3,0,0.001
Lop_low,T24,Pseudoflavonifractor,Abundance,3,0,0.001
Saline,T24,Pseudoflavonifractor,Abundance,3,0,0
DMSO,T48,Pseudoflavonifractor,Abundance,3,0.002,0.002
Imolope_high,T48,Pseudoflavonifractor,Abundance,3,0.002,0.001
Imolope_low,T48,Pseudoflavonifractor,Abundance,3,0.003,0.003
Lop_high,T48,Pseudoflavonifractor,Abundance,3,0.011,0.006
Lop_low,T48,Pseudoflavonifractor,Abundance,3,0.01,0.004
Saline,T48,Pseudoflavonifractor,Abundance,3,0.019,0.012
DMSO,T72,Pseudoflavonifractor,Abundance,3,0.371,0.078
Imolope_high,T72,Pseudoflavonifractor,Abundance,3,0.222,0.07
Imolope_low,T72,Pseudoflavonifractor,Abundance,3,0.55,0.13
Lop_high,T72,Pseudoflavonifractor,Abundance,3,0.574,0.187
Lop_low,T72,Pseudoflavonifractor,Abundance,3,1.041,0.232
Saline,T72,Pseudoflavonifractor,Abundance,3,0.771,0.016
DMSO,T0,Pseudomonas,Abundance,3,0,0
Imolope_high,T0,Pseudomonas,Abundance,3,0,0
Imolope_low,T0,Pseudomonas,Abundance,3,0.115,0.2
Lop_high,T0,Pseudomonas,Abundance,3,0,0
Lop_low,T0,Pseudomonas,Abundance,3,0,0
Saline,T0,Pseudomonas,Abundance,3,0,0
DMSO,T24,Pseudomonas,Abundance,3,0,0
Imolope_high,T24,Pseudomonas,Abundance,3,0,0
Imolope_low,T24,Pseudomonas,Abundance,3,0,0
Lop_high,T24,Pseudomonas,Abundance,3,0.001,0.001
Lop_low,T24,Pseudomonas,Abundance,3,0,0
Saline,T24,Pseudomonas,Abundance,3,0,0.001
DMSO,T48,Pseudomonas,Abundance,3,0,0
Imolope_high,T48,Pseudomonas,Abundance,3,0.001,0.001
Imolope_low,T48,Pseudomonas,Abundance,3,0,0
Lop_high,T48,Pseudomonas,Abundance,3,0,0
Lop_low,T48,Pseudomonas,Abundance,3,0,0
Saline,T48,Pseudomonas,Abundance,3,0,0
DMSO,T72,Pseudomonas,Abundance,3,0,0
Imolope_high,T72,Pseudomonas,Abundance,3,0,0
Imolope_low,T72,Pseudomonas,Abundance,3,0,0
Lop_high,T72,Pseudomonas,Abundance,3,0,0.001
Lop_low,T72,Pseudomonas,Abundance,3,0,0
Saline,T72,Pseudomonas,Abundance,3,0,0
DMSO,T0,Puia,Abundance,3,0,0
Imolope_high,T0,Puia,Abundance,3,0.002,0.004
Imolope_low,T0,Puia,Abundance,3,0.001,0.002
Lop_high,T0,Puia,Abundance,3,0.003,0.005
Lop_low,T0,Puia,Abundance,3,0.001,0.002
Saline,T0,Puia,Abundance,3,0.001,0.002
DMSO,T24,Puia,Abundance,3,0,0
Imolope_high,T24,Puia,Abundance,3,0,0
Imolope_low,T24,Puia,Abundance,3,0,0
Lop_high,T24,Puia,Abundance,3,0,0
Lop_low,T24,Puia,Abundance,3,0,0
Saline,T24,Puia,Abundance,3,0,0
DMSO,T48,Puia,Abundance,3,0,0
Imolope_high,T48,Puia,Abundance,3,0,0
Imolope_low,T48,Puia,Abundance,3,0,0
Lop_high,T48,Puia,Abundance,3,0,0
Lop_low,T48,Puia,Abundance,3,0,0
Saline,T48,Puia,Abundance,3,0,0
DMSO,T72,Puia,Abundance,3,0,0
Imolope_high,T72,Puia,Abundance,3,0,0
Imolope_low,T72,Puia,Abundance,3,0,0
Lop_high,T72,Puia,Abundance,3,0,0
Lop_low,T72,Puia,Abundance,3,0,0
Saline,T72,Puia,Abundance,3,0,0
DMSO,T0,Rheinheimera,Abundance,3,0,0
Imolope_high,T0,Rheinheimera,Abundance,3,0,0
Imolope_low,T0,Rheinheimera,Abundance,3,2.556,4.426
Lop_high,T0,Rheinheimera,Abundance,3,0,0
Lop_low,T0,Rheinheimera,Abundance,3,0,0
Saline,T0,Rheinheimera,Abundance,3,0,0
DMSO,T24,Rheinheimera,Abundance,3,0,0
Imolope_high,T24,Rheinheimera,Abundance,3,0,0
Imolope_low,T24,Rheinheimera,Abundance,3,0,0
Lop_high,T24,Rheinheimera,Abundance,3,0,0
Lop_low,T24,Rheinheimera,Abundance,3,0,0
Saline,T24,Rheinheimera,Abundance,3,0,0
DMSO,T48,Rheinheimera,Abundance,3,0,0
Imolope_high,T48,Rheinheimera,Abundance,3,0,0
Imolope_low,T48,Rheinheimera,Abundance,3,0,0
Lop_high,T48,Rheinheimera,Abundance,3,0,0
Lop_low,T48,Rheinheimera,Abundance,3,0.001,0.001
Saline,T48,Rheinheimera,Abundance,3,0,0
DMSO,T72,Rheinheimera,Abundance,3,0,0
Imolope_high,T72,Rheinheimera,Abundance,3,0,0
Imolope_low,T72,Rheinheimera,Abundance,3,0,0
Lop_high,T72,Rheinheimera,Abundance,3,0,0
Lop_low,T72,Rheinheimera,Abundance,3,0,0
Saline,T72,Rheinheimera,Abundance,3,0,0
DMSO,T0,Rhizomicrobium,Abundance,3,0,0
Imolope_high,T0,Rhizomicrobium,Abundance,3,0,0
Imolope_low,T0,Rhizomicrobium,Abundance,3,0.006,0.006
Lop_high,T0,Rhizomicrobium,Abundance,3,0.002,0.003
Lop_low,T0,Rhizomicrobium,Abundance,3,0.004,0.008
Saline,T0,Rhizomicrobium,Abundance,3,0,0
DMSO,T24,Rhizomicrobium,Abundance,3,0,0
Imolope_high,T24,Rhizomicrobium,Abundance,3,0,0
Imolope_low,T24,Rhizomicrobium,Abundance,3,0,0
Lop_high,T24,Rhizomicrobium,Abundance,3,0,0
Lop_low,T24,Rhizomicrobium,Abundance,3,0,0
Saline,T24,Rhizomicrobium,Abundance,3,0,0
DMSO,T48,Rhizomicrobium,Abundance,3,0,0
Imolope_high,T48,Rhizomicrobium,Abundance,3,0,0
Imolope_low,T48,Rhizomicrobium,Abundance,3,0,0
Lop_high,T48,Rhizomicrobium,Abundance,3,0,0
Lop_low,T48,Rhizomicrobium,Abundance,3,0,0
Saline,T48,Rhizomicrobium,Abundance,3,0,0
DMSO,T72,Rhizomicrobium,Abundance,3,0,0
Imolope_high,T72,Rhizomicrobium,Abundance,3,0,0
Imolope_low,T72,Rhizomicrobium,Abundance,3,0,0
Lop_high,T72,Rhizomicrobium,Abundance,3,0,0
Lop_low,T72,Rhizomicrobium,Abundance,3,0,0
Saline,T72,Rhizomicrobium,Abundance,3,0,0
DMSO,T0,Romboutsia,Abundance,3,0.001,0.002
Imolope_high,T0,Romboutsia,Abundance,3,0,0
Imolope_low,T0,Romboutsia,Abundance,3,0.006,0.006
Lop_high,T0,Romboutsia,Abundance,3,0.003,0.003
Lop_low,T0,Romboutsia,Abundance,3,0,0
Saline,T0,Romboutsia,Abundance,3,0.002,0.004
DMSO,T24,Romboutsia,Abundance,3,0.001,0.001
Imolope_high,T24,Romboutsia,Abundance,3,0.001,0.001
Imolope_low,T24,Romboutsia,Abundance,3,0,0
Lop_high,T24,Romboutsia,Abundance,3,0.001,0.001
Lop_low,T24,Romboutsia,Abundance,3,0.001,0.001
Saline,T24,Romboutsia,Abundance,3,0,0
DMSO,T48,Romboutsia,Abundance,3,0.001,0.002
Imolope_high,T48,Romboutsia,Abundance,3,0,0.001
