ID,Day ,Date ,Animal ,Group ,BW ,FoodIntake,WaterIntake,Bacload,TT ,TT_FoldChange,TT_Increase,ox_iaa_cecum,Acetic_acid_cecum,Propanoic_acid_cecum,Butanoic_acid_cecum,Isobutyric_acid_cecum,Isovaleric_acid_cecum,Valeric_acid_cecum,Caproic_acid_cecum,Isocaproic_acid_cecum,Acetic_acid_feces,Propanoic_acid_feces,Butanoic_acid_feces,Isobutyric_acid_feces,Isovaleric_acid_feces,All_SCFAs_feces,Acetic_acid_change,Propanoic_acid_change,Butanoic_acid_change,Isobutyric_acid_change,Isovaleric_acid_change
M24_D07,D07,29_01_23,M24,High ,21.3,2,4,,NA,,,,,,,,,,,,1108.072774,200.1730039,114.975835,10.28144079,14.24128819,1423.221613,-790.7196608,6.354332082,-170.9652462,-6.44399565,0.30550616
M01_D08,D08,30_01_23,M01,Control ,20.7,4,5,,333,1.570754717,121,,,,,,,,,,,,,,,,,,,,
M02_D08,D08,30_01_23,M02,Control ,20.3,3,5,,334,1.363265306,89,,,,,,,,,,,,,,,,,,,,
M03_D08,D08,30_01_23,M03,Control ,18.3,3,4,,333,0.851662404,-58,,,,,,,,,,,,,,,,,,,,
M04_D08,D08,30_01_23,M04,Control ,22,3,5,,310,1.09540636,27,,,,,,,,,,,,,,,,,,,,
M05_D08,D08,30_01_23,M05,Control ,18.6,3,4,,423,2.203125,231,,,,,,,,,,,,,,,,,,,,
M06_D08,D08,30_01_23,M06,Control ,21.6,3,4,,396,1.203647416,67,,,,,,,,,,,,,,,,,,,,
M07_D08,D08,30_01_23,M07,Low,21,1,6,,420,3.065693431,283,,,,,,,,,,,,,,,,,,,,
M08_D08,D08,30_01_23,M08,Low,20.6,3,5,,514,1.663430421,205,,,,,,,,,,,,,,,,,,,,
M09_D08,D08,30_01_23,M09,Low,18.3,2,5,,417,1.912844037,199,,,,,,,,,,,,,,,,,,,,
M10_D08,D08,30_01_23,M10,Low,19.8,3,6,,357,1.411067194,104,,,,,,,,,,,,,,,,,,,,
M11_D08,D08,30_01_23,M11,Low,18,2,4,,390,1.598360656,146,,,,,,,,,,,,,,,,,,,,
M12_D08,D08,30_01_23,M12,Low,20.3,3,5,,389,1.28807947,87,,,,,,,,,,,,,,,,,,,,
